symbol,price
ETHBTC,0.06711300
LTCBTC,0.00465300
BNBBTC,0.00967400
NEOBTC,0.00136700
QTUMETH,0.00386100
EOSETH,0.00204000
SNTETH,0.00003319
BNTETH,0.00161700
BCCBTC,0.07908100
GASBTC,0.00022070
BNBETH,0.14416000
BTCUSDT,36812.30000000
ETHUSDT,2470.76000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00002100
WTCETH,0.00023700
LRCBTC,0.00000850
LRCETH,0.00012642
QTUMBTC,0.00025910
YOYOBTC,0.00000048
OMGBTC,0.00013730
OMGETH,0.00204500
ZRXBTC,0.00002503
ZRXETH,0.00037208
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000027
SNGLSETH,0.00005306
BQXBTC,0.00006462
BQXETH,0.00096430
KNCBTC,0.00005006
KNCETH,0.00074710
FUNBTC,0.00000062
FUNETH,0.00000917
SNMBTC,0.00000576
SNMETH,0.00004986
NEOETH,0.02037600
IOTABTC,0.00003141
IOTAETH,0.00046875
LINKBTC,0.00062688
LINKETH,0.00934000
XVGBTC,0.00000079
XVGETH,0.00001185
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00002188
MDAETH,0.00181150
MTLBTC,0.00006860
MTLETH,0.00102700
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00013690
SNTBTC,0.00000221
ETCETH,0.02354300
ETCBTC,0.00158190
MTHBTC,0.00000074
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000414
ZECBTC,0.00365700
ZECETH,0.05460000
BNTBTC,0.00010832
ASTBTC,0.00000440
ASTETH,0.00006960
DASHBTC,0.00463300
DASHETH,0.06895000
OAXBTC,0.00000459
ICNBTC,0.00005742
BTGBTC,0.00182900
BTGETH,0.05274500
EVXBTC,0.00001395
EVXETH,0.00062490
REQBTC,0.00000215
REQETH,0.00004995
VIBBTC,0.00000133
VIBETH,0.00002009
HSRETH,0.01247400
TRXBTC,0.00000198
TRXETH,0.00002950
POWRBTC,0.00000645
POWRETH,0.00009574
ARKBTC,0.00003176
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00002362
XRPETH,0.00035168
MODBTC,0.00004280
MODETH,0.00116700
ENJBTC,0.00003486
ENJETH,0.00052057
STORJBTC,0.00002663
STORJETH,0.00029910
BNBUSDT,356.07000000
VENBNB,0.14920000
YOYOBNB,0.00059800
POWRBNB,0.00385000
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00003899
KMDETH,0.00057800
NULSBNB,0.01257000
RCNBTC,0.00000177
RCNETH,0.00037604
RCNBNB,0.00347300
NULSBTC,0.00001405
NULSETH,0.00051926
RDNBTC,0.00001160
RDNETH,0.00071530
RDNBNB,0.00623000
XMRBTC,0.00699400
XMRETH,0.10423000
DLTBNB,0.00240000
WTCBNB,0.00217100
DLTBTC,0.00000235
DLTETH,0.00016807
